Date,Adj Close,Close,High,Low,Open,Volume
2010-01-04,3109.18359375,3109.18359375,3149.2158203125,3055.806884765625,3055.806884765625,10009
2010-01-05,3242.624755859375,3242.624755859375,3309.345458984375,3082.4951171875,3082.4951171875,14198
2010-01-06,3202.592529296875,3202.592529296875,3269.313232421875,3162.56005859375,3269.313232421875,5806
2010-01-07,3175.904052734375,3175.904052734375,3296.00146484375,3162.56005859375,3296.00146484375,19812
2010-01-08,3309.345458984375,3309.345458984375,3362.72216796875,3175.904052734375,3202.592529296875,15960
2010-01-11,3402.75439453125,3402.75439453125,3429.442626953125,3322.689697265625,3349.3779296875,17097
2010-01-12,3416.0986328125,3416.0986328125,3429.442626953125,3296.00146484375,3416.0986328125,8132
2010-01-13,3282.6572265625,3282.6572265625,3429.442626953125,3255.968994140625,3389.410400390625,8765
2010-01-14,3376.066162109375,3376.066162109375,3389.410400390625,3296.00146484375,3362.72216796875,11667
2010-01-15,3322.689697265625,3322.689697265625,3389.410400390625,3296.00146484375,3389.410400390625,7137
2010-01-18,3202.592529296875,3202.592529296875,3309.345458984375,3202.592529296875,3296.00146484375,5439
2010-01-19,3175.904052734375,3175.904052734375,3215.9365234375,3149.2158203125,3189.248291015625,7164
2010-01-20,3135.871826171875,3135.871826171875,3175.904052734375,3122.527587890625,3175.904052734375,5760
2010-01-21,3055.806884765625,3055.806884765625,3135.871826171875,3015.774658203125,3135.871826171875,6742
2010-01-22,2882.333251953125,2882.333251953125,3029.11865234375,2868.989013671875,3002.430419921875,10016
2010-01-25,2868.989013671875,2868.989013671875,2922.36572265625,2828.95654296875,2855.64501953125,7045
2010-01-26,2828.95654296875,2828.95654296875,2868.989013671875,2708.859375,2855.64501953125,5391
2010-01-27,3015.774658203125,3015.774658203125,3055.806884765625,2775.580078125,2775.580078125,10951
2010-01-28,3215.9365234375,3215.9365234375,3336.03369140625,3149.2158203125,3162.56005859375,29502
2010-01-29,3269.313232421875,3269.313232421875,3309.345458984375,3162.56005859375,3255.968994140625,8614
2010-02-01,3322.689697265625,3322.689697265625,3376.066162109375,3229.28076171875,3269.313232421875,7262
2010-02-02,3269.313232421875,3269.313232421875,3349.3779296875,3255.968994140625,3349.3779296875,5333
2010-02-03,3229.28076171875,3229.28076171875,3376.066162109375,3215.9365234375,3269.313232421875,7138
2010-02-04,3242.624755859375,3242.624755859375,3282.6572265625,3175.904052734375,3255.968994140625,6526
2010-02-05,3202.592529296875,3202.592529296875,3242.624755859375,3135.871826171875,3162.56005859375,7702
2010-02-08,3002.430419921875,3002.430419921875,3189.248291015625,2949.053955078125,3189.248291015625,15425
2010-02-09,2989.086181640625,2989.086181640625,2989.086181640625,2868.989013671875,2962.39794921875,10175
2010-02-10,2975.7421875,2975.7421875,3095.83935546875,2935.709716796875,3002.430419921875,7037
2010-02-11,3402.75439453125,3402.75439453125,3402.75439453125,3082.4951171875,3122.527587890625,47324
2010-02-12,3469.47509765625,3469.47509765625,3589.572265625,3416.0986328125,3469.47509765625,30079
2010-02-15,3522.851806640625,3522.851806640625,3549.5400390625,3349.3779296875,3456.131103515625,12323
